timeframe,lookback_fast,lookback_slow,top_n,vol_window,target_vol_ann,regime_threshold,breadth_threshold,gross_cap,fee_rate,train_total_return,train_sharpe,train_max_drawdown,train_active_ratio,train_monthly_hit,train_score
1d,7,14,2,5,1.0,0.0,0.5,1.5,0.0004,-0.13827193044258101,-1.7786118470032277,-0.21656338871324532,0.23655913978494625,0.25,-26.519368212230496
1d,3,10,1,5,0.8,0.02,0.5,1.5,0.0004,-0.10025636827156992,-2.333686990599415,-0.12058028175874813,0.0967741935483871,0.0,-26.733087685104184
1d,3,10,1,5,1.0,0.02,0.5,1.5,0.0004,-0.10678287987404833,-2.1266117499401864,-0.13146718694950554,0.0967741935483871,0.0,-26.840273375639967
1d,5,10,1,10,0.6,0.05,0.5,1.5,0.0004,-0.07123355000449372,-3.3431437992099577,-0.07123355000449372,0.043010752688172046,0.0,-26.87254073594869
1d,3,10,1,10,1.0,0.02,0.5,1.5,0.0004,-0.11043584572202303,-2.039171882428793,-0.1350192020558343,0.0967741935483871,0.0,-26.92821130266526
1d,3,10,1,10,0.8,0.05,0.5,1.5,0.0004,-0.07350796100143508,-3.283073084715237,-0.07350796100143508,0.03225806451612903,0.0,-26.944987510719756
1d,5,10,1,5,0.6,0.05,0.5,1.5,0.0004,-0.07878365494674944,-3.17407637185519,-0.07878365494674944,0.043010752688172046,0.0,-27.121968815801928
1d,3,14,1,10,0.6,0.0,0.5,1.5,0.0004,-0.14040798312549818,-2.0494675789078256,-0.19534828298870177,0.22580645161290322,0.25,-27.175583135128914
1d,7,14,2,10,1.0,0.0,0.5,1.5,0.0004,-0.14415253763948577,-1.8133825611049947,-0.2216214829833716,0.23655913978494625,0.25,-27.508896744585485
1d,5,14,2,5,0.8,0.0,0.5,1.5,0.0004,-0.12733515965400788,-2.3963086044490725,-0.20002515416390665,0.1827956989247312,0.25,-27.985008129323024
1d,5,14,1,5,0.6,0.0,0.5,1.5,0.0004,-0.11977733646936628,-2.8204011424962703,-0.17291134556141807,0.1827956989247312,0.25,-28.12956711398287
1d,5,14,1,10,0.8,0.0,0.5,1.5,0.0004,-0.1282888070410667,-2.4205207054675397,-0.19850380676923707,0.1827956989247312,0.25,-28.132972740361115
1d,3,10,1,10,1.0,0.05,0.5,1.5,0.0004,-0.08699633358886816,-3.209308876139338,-0.08699633358886816,0.03225806451612903,0.0,-28.53198049301806
1d,3,10,2,5,0.6,0.05,0.5,1.5,0.0004,-0.0793150145680388,-3.4787880425988114,-0.0793150145680388,0.03225806451612903,0.0,-28.765585067295167
1d,5,14,2,10,0.6,0.0,0.5,1.5,0.0004,-0.12899085693055645,-2.5993252746625117,-0.1973018686804482,0.1827956989247312,0.25,-29.04311336128945
1d,3,14,1,5,1.0,0.0,0.5,1.5,0.0004,-0.1656171234947429,-1.5632539093049171,-0.23804460927972282,0.22580645161290322,0.25,-29.18676350713479
1d,3,14,1,5,0.8,0.0,0.5,1.5,0.0004,-0.16598974400223843,-1.661220845845602,-0.22720366128023473,0.22580645161290322,0.25,-29.2260175806108
